fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,officialURL,screen_name,GroupShort,screen_name_lower
Radosław SIKORSKI,Poland,Group of the European People's Party (Christian Democrats),197548,Platforma Obywatelska,https://twitter.com/sikorskiradek,https://www.europarl.europa.eu/meps/en/197548,sikorskiradek,EPP,sikorskiradek
Pedro SILVA PEREIRA,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124747,Partido Socialista,NA,https://www.europarl.europa.eu/meps/en/124747,NA,S&D,NA
Michal ŠIMEČKA,Slovakia,Renew Europe Group,103746,Progresívne Slovensko,NA,https://www.europarl.europa.eu/meps/en/103746,NA,RE,NA
Sven SIMON,Germany,Group of the European People's Party (Christian Democrats),197426,Christlich Demokratische Union Deutschlands,NA,https://www.europarl.europa.eu/meps/en/197426,NA,EPP,NA
Ivan Vilibor SINČIĆ,Croatia,Non-attached Members,197935,Živi Zid,NA,https://www.europarl.europa.eu/meps/en/197935,NA,"NA",NA
Birgit SIPPEL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96932,Sozialdemokratische Partei Deutschlands,https://twitter.com/BirgitSippelMEP,https://www.europarl.europa.eu/meps/en/96932,BirgitSippelMEP,S&D,birgitsippelmep
Sara SKYTTEDAL,Sweden,Group of the European People's Party (Christian Democrats),197390,Kristdemokraterna,https://twitter.com/skyttedal,https://www.europarl.europa.eu/meps/en/197390,skyttedal,EPP,skyttedal
Andrey SLABAKOV,Bulgaria,European Conservatives and Reformists Group,197849,VMRO,NA,https://www.europarl.europa.eu/meps/en/197849,NA,ECR,NA
Massimiliano SMERIGLIO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197791,Partito Democratico,https://twitter.com/maxsmeriglio,https://www.europarl.europa.eu/meps/en/197791,maxsmeriglio,S&D,maxsmeriglio
Alyn SMITH,United Kingdom,Group of the Greens/European Free Alliance,28508,Scottish National Party,https://twitter.com/AlynSmithMEP,https://www.europarl.europa.eu/meps/en/28508,AlynSmithMEP,Greens–EFA,alynsmithmep
Michaela ŠOJDROVÁ,Czechia,Group of the European People's Party (Christian Democrats),124710,Křesťanská a demokratická unie - Československá strana lidová,NA,https://www.europarl.europa.eu/meps/en/124710,NA,EPP,NA
Tomislav SOKOL,Croatia,Group of the European People's Party (Christian Democrats),197417,Hrvatska demokratska zajednica,NA,https://www.europarl.europa.eu/meps/en/197417,NA,EPP,NA
Susana SOLÍS PÉREZ,Spain,Renew Europe Group,197784,Ciudadanos – Partido de la Ciudadanía,https://twitter.com/susanasolisp,https://www.europarl.europa.eu/meps/en/197784,susanasolisp,RE,susanasolisp
Martin SONNEBORN,Germany,Non-attached Members,124834,Die PARTEI,https://twitter.com/MartinSonneborn,https://www.europarl.europa.eu/meps/en/124834,MartinSonneborn,"NA",martinsonneborn
Sylwia SPUREK,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197550,Wiosna,https://twitter.com/sylwiaspurek,https://www.europarl.europa.eu/meps/en/197550,sylwiaspurek,S&D,sylwiaspurek
Maria SPYRAKI,Greece,Group of the European People's Party (Christian Democrats),125064,Nea Demokratia,https://twitter.com/MariaSpyraki,https://www.europarl.europa.eu/meps/en/125064,MariaSpyraki,EPP,mariaspyraki
Raffaele STANCANELLI,Italy,European Conservatives and Reformists Group,197825,Fratelli d'Italia,NA,https://www.europarl.europa.eu/meps/en/197825,NA,ECR,NA
Sergei STANISHEV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124852,Bulgarian Socialist Party,https://twitter.com/SergeiStanishev,https://www.europarl.europa.eu/meps/en/124852,SergeiStanishev,S&D,sergeistanishev
Louis STEDMAN-BRYCE,United Kingdom,Non-attached Members,197814,The Brexit Party,https://twitter.com/lstedmanbryce,https://www.europarl.europa.eu/meps/en/197814,lstedmanbryce,"NA",lstedmanbryce
Ivan ŠTEFANEC,Slovakia,Group of the European People's Party (Christian Democrats),124929,Kresťanskodemokratické hnutie,https://twitter.com/IvanStefanec,https://www.europarl.europa.eu/meps/en/124929,IvanStefanec,EPP,ivanstefanec
Nicolae ȘTEFĂNUȚA,Romania,Renew Europe Group,58766,Uniunea Salvați România,https://twitter.com/nicustefanuta,https://www.europarl.europa.eu/meps/en/58766,nicustefanuta,RE,nicustefanuta
Jessica STEGRUD,Sweden,European Conservatives and Reformists Group,197399,Sverigedemokraterna,NA,https://www.europarl.europa.eu/meps/en/197399,NA,ECR,NA
Tineke STRIK,Netherlands,Group of the Greens/European Free Alliance,197772,GroenLinks,https://twitter.com/tineke_strik,https://www.europarl.europa.eu/meps/en/197772,tineke_strik,Greens–EFA,tineke_strik
Ramona STRUGARIU,Romania,Renew Europe Group,134605,"Partidul Libertate, Unitate și Solidaritate",NA,https://www.europarl.europa.eu/meps/en/134605,NA,RE,NA
Professor Dubravka ŠUICA,Croatia,Group of the European People's Party (Christian Democrats),119434,Hrvatska demokratska zajednica,NA,https://www.europarl.europa.eu/meps/en/119434,NA,EPP,NA
József SZÁJER,Hungary,Group of the European People's Party (Christian Democrats),23821,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NA,https://www.europarl.europa.eu/meps/en/23821,NA,EPP,NA
Beata SZYDŁO,Poland,European Conservatives and Reformists Group,197553,Prawo i Sprawiedliwość,NA,https://www.europarl.europa.eu/meps/en/197553,NA,ECR,NA
Antonio TAJANI,Italy,Group of the European People's Party (Christian Democrats),2187,Forza Italia,https://twitter.com/Antonio_Tajani,https://www.europarl.europa.eu/meps/en/2187,Antonio_Tajani,EPP,antonio_tajani
Paul TANG,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125020,Partij van de Arbeid,https://twitter.com/paultang,https://www.europarl.europa.eu/meps/en/125020,paultang,S&D,paultang
