fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,faceboook_urls,officialURL,GroupShort,screen_name,user_id
Roberta METSOLA,Malta,Group of the European People's Party (Christian Democrats),118859,Partit Nazzjonalista,https://twitter.com/RobertaMetsola,https://www.facebook.com/roberta.metsola,https://www.europarl.europa.eu/meps/en/118859,EPP,RobertaMetsola,55031092
Tilly METZ,Luxembourg,Group of the Greens/European Free Alliance,193292,Déi Gréng - Les Verts,NA,https://www.facebook.com/TillyMetzMEP/,https://www.europarl.europa.eu/meps/en/193292,Greens–EFA,NA,NA
Jörg MEUTHEN,Germany,Identity and Democracy Group,190518,Alternative für Deutschland,NA,NA,https://www.europarl.europa.eu/meps/en/190518,ID,Joerg_Meuthen,710201540116652033
Martina MICHELS,Germany,Confederal Group of the European United Left - Nordic Green Left,120478,DIE LINKE.,https://twitter.com/martina_michels,https://www.facebook.com/Martina-Michels,https://www.europarl.europa.eu/meps/en/120478,GUE-NGL,martina_michels,3292756634
Iskra MIHAYLOVA,Bulgaria,Renew Europe Group,125128,Movement for Rights and Freedoms,NA,NA,https://www.europarl.europa.eu/meps/en/125128,RE,Iskra_Mihaylova,831199595011137538
Sven MIKSER,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197497,Sotsiaaldemokraatlik Erakond,NA,NA,https://www.europarl.europa.eu/meps/en/197497,S&D,svenmikser,233515767
Giuseppe MILAZZO,Italy,Group of the European People's Party (Christian Democrats),197824,Forza Italia,https://twitter.com/giuseppemilaz11,https://www.facebook.com/giuseppe.milazzo.927,https://www.europarl.europa.eu/meps/en/197824,EPP,giuseppemilaz11,614509863
Francisco José MILLÁN MON,Spain,Group of the European People's Party (Christian Democrats),28400,Partido Popular,NA,https://business.facebook.com/GrupoPPE,https://www.europarl.europa.eu/meps/en/28400,EPP,PacoMillanMon,1124616758185402369
Leszek MILLER,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197540,Sojusz Lewicy Demokratycznej,https://twitter.com/LeszekMiller/status/456143806295855104,https://www.facebook.com/MillerLeszek/,https://www.europarl.europa.eu/meps/en/197540,S&D,LeszekMiller,897947522
Baroness Nosheena MOBARIK,United Kingdom,European Conservatives and Reformists Group,189391,Conservative Party,NA,NA,https://www.europarl.europa.eu/meps/en/189391,ECR,NosheenaMobarik,930742277739352064
Silvia MODIG,Finland,Confederal Group of the European United Left - Nordic Green Left,197805,Vasemmistoliitto,NA,https://www.facebook.com/silviamodig/,https://www.europarl.europa.eu/meps/en/197805,GUE-NGL,silviamodig,87206214
Shaffaq MOHAMMED,United Kingdom,Renew Europe Group,197811,Liberal Democrats,https://twitter.com/shaffaqmohd,https://www.facebook.com/shaffaq.mohammed,https://www.europarl.europa.eu/meps/en/197811,RE,shaffaqmohd,529961793
Csaba MOLNÁR,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124722,Demokratikus Koalíció,NA,https://www.facebook.com/drmolnarcsaba,https://www.europarl.europa.eu/meps/en/124722,S&D,NA,NA
Cláudia MONTEIRO DE AGUIAR,Portugal,Group of the European People's Party (Christian Democrats),124734,Partido Social Democrata,NA,NA,https://www.europarl.europa.eu/meps/en/124734,EPP,cmonteiroaguiar,239860130
Brian MONTEITH,United Kingdom,Non-attached Members,197704,The Brexit Party,NA,NA,https://www.europarl.europa.eu/meps/en/197704,"NA",TheBluetrot,620893984
Dolors MONTSERRAT,Spain,Group of the European People's Party (Christian Democrats),197711,Partido Popular,https://twitter.com/dolorsmm,https://www.facebook.com/dolorsmontserratoficial/,https://www.europarl.europa.eu/meps/en/197711,EPP,DolorsMM,283559538
Claude MORAES,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4519,Labour Party,https://twitter.com/claude_moraes,NA,https://www.europarl.europa.eu/meps/en/4519,S&D,Claude_Moraes,819843415
Nadine MORANO,France,Group of the European People's Party (Christian Democrats),72779,Les Républicains,https://twitter.com/nadine__morano,https://www.facebook.com/Nadine.Morano,https://www.europarl.europa.eu/meps/en/72779,EPP,nadine__morano,413839619
Javier MORENO SÁNCHEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28347,Partido Socialista Obrero Español,NA,NA,https://www.europarl.europa.eu/meps/en/28347,S&D,NA,NA
Alessandra MORETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124799,Partito Democratico,https://twitter.com/ale_moretti,https://www.facebook.com/alessandramorettiPD,https://www.europarl.europa.eu/meps/en/124799,S&D,ale_moretti,540895773
Marlene MORTLER,Germany,Group of the European People's Party (Christian Democrats),197427,Christlich-Soziale Union in Bayern e.V.,NA,NA,https://www.europarl.europa.eu/meps/en/197427,EPP,NA,NA
Dan-Ştefan MOTREANU,Romania,Group of the European People's Party (Christian Democrats),197647,Partidul Naţional Liberal,NA,NA,https://www.europarl.europa.eu/meps/en/197647,EPP,Dan_Motreanu,2763652310
Andżelika Anna MOŻDŻANOWSKA,Poland,European Conservatives and Reformists Group,197541,Prawo i Sprawiedliwość,NA,https://www.facebook.com/andzelika.mozdzanowska.5,https://www.europarl.europa.eu/meps/en/197541,ECR,NA,NA
Ulrike MÜLLER,Germany,Renew Europe Group,124862,Freie Wähler,https://twitter.com/ulimuellermdep,https://www.facebook.com/UlrikeMuellerMdL,https://www.europarl.europa.eu/meps/en/124862,RE,UliMuellerMdEP,612717643
June Alison MUMMERY,United Kingdom,Non-attached Members,197603,The Brexit Party,https://twitter.com/june_mummery,https://www.facebook.com/June-Mummery-397844830947365,https://www.europarl.europa.eu/meps/en/197603,"NA",june_mummery,1085967618446643200
Siegfried MUREŞAN,Romania,Group of the European People's Party (Christian Democrats),124802,Partidul Naţional Liberal,https://twitter.com/SMuresan,https://www.facebook.com/SiegfriedMEP,https://www.europarl.europa.eu/meps/en/124802,EPP,SMuresan,49950808
Caroline NAGTEGAAL,Netherlands,Renew Europe Group,190519,Volkspartij voor Vrijheid en Democratie,https://twitter.com/c_nagtegaal,https://www.facebook.com/caroline.vandoorn.7,https://www.europarl.europa.eu/meps/en/190519,RE,C_Nagtegaal,38472446
Javier NART,Spain,Renew Europe Group,125005,Independiente,NA,NA,https://www.europarl.europa.eu/meps/en/125005,RE,NA,NA
Lucy NETHSINGHA,United Kingdom,Renew Europe Group,197604,Liberal Democrats,https://twitter.com/lnethsingha,NA,https://www.europarl.europa.eu/meps/en/197604,RE,Lnethsingha,NA
Hannah NEUMANN,Germany,Group of the Greens/European Free Alliance,197464,Bündnis 90/Die Grünen,https://twitter.com/@Hannah_LBerg,https://facebook.com/HannahNeumann.LBerg/,https://www.europarl.europa.eu/meps/en/197464,Greens–EFA,Hannah_LBerg,828566340365643776
Norbert NEUSER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96844,Sozialdemokratische Partei Deutschlands,NA,https://www.facebook.com/norbert.neuser,https://www.europarl.europa.eu/meps/en/96844,S&D,NA,NA
Bill NEWTON DUNN,United Kingdom,Renew Europe Group,1394,Liberal Democrats,NA,NA,https://www.europarl.europa.eu/meps/en/1394,RE,billnewtondunn,34705879
Dan NICA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124784,Partidul Social Democrat,NA,NA,https://www.europarl.europa.eu/meps/en/124784,S&D,NA,NA
Angelika NIEBLER,Germany,Group of the European People's Party (Christian Democrats),4289,Christlich-Soziale Union in Bayern e.V.,https://twitter.com/ANiebler,https://www.facebook.com/aniebler,https://www.europarl.europa.eu/meps/en/4289,EPP,ANiebler,886420428
Luděk NIEDERMAYER,Czechia,Group of the European People's Party (Christian Democrats),124701,TOP 09 a Starostové,https://twitter.com/LudekNie,https://www.facebook.com/Niedermayer.Ludek,https://www.europarl.europa.eu/meps/en/124701,EPP,LudekNie,2815744853
Niklas NIENASS,Germany,Group of the Greens/European Free Alliance,197465,Bündnis 90/Die Grünen,https://twitter.com/nnienass,NA,https://www.europarl.europa.eu/meps/en/197465,Greens–EFA,nnienass,147947516
Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,197802,Vihreä liitto,https://twitter.com/villeniinisto,NA,https://www.europarl.europa.eu/meps/en/197802,Greens–EFA,VilleNiinisto,333954467
Lefteris NIKOLAOU-ALAVANOS,Greece,Non-attached Members,197734,Communist Party of Greece,NA,NA,https://www.europarl.europa.eu/meps/en/197734,"NA",NA,NA
Maria NOICHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124836,Sozialdemokratische Partei Deutschlands,NA,https://www.facebook.com/noichl.eu,https://www.europarl.europa.eu/meps/en/124836,S&D,MariaNoichl,1070701588598218752
Ljudmila NOVAK,Slovenia,Group of the European People's Party (Christian Democrats),28294,Nova Slovenija – Krščanski demokrati,NA,NA,https://www.europarl.europa.eu/meps/en/28294,EPP,LjudmilaNovak,514541450
Andrey NOVAKOV,Bulgaria,Group of the European People's Party (Christian Democrats),107212,Citizens for European Development of Bulgaria,https://twitter.com/andreynovakov,https://www.facebook.com/andrey.novakov,https://www.europarl.europa.eu/meps/en/107212,EPP,AndreyNovakov,1704818077
Janina OCHOJSKA,Poland,Group of the European People's Party (Christian Democrats),197542,Independent,https://twitter.com/JaninaOchojska,https://www.facebook.com/janka.ochojska,https://www.europarl.europa.eu/meps/en/197542,EPP,JaninaOchojska,2200120927
Jan-Christoph OETJEN,Germany,Renew Europe Group,197432,Freie Demokratische Partei,https://twitter.com/jcoetjen,https://www.facebook.com/Oetjen.Jan.Christoph/,https://www.europarl.europa.eu/meps/en/197432,RE,jcoetjen,370708213
Jan OLBRYCHT,Poland,Group of the European People's Party (Christian Democrats),28288,Platforma Obywatelska,http://twitter.com/JanOlbrycht,https://www.facebook.com/J.Olbrycht,https://www.europarl.europa.eu/meps/en/28288,EPP,JanOlbrycht,628396879
Juozas OLEKAS,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197838,Lietuvos socialdemokratų partija,NA,https://www.facebook.com/juozas.olekas.5,https://www.europarl.europa.eu/meps/en/197838,S&D,juozas_olekas,1147057678910402560
Philippe OLIVIER,France,Identity and Democracy Group,197687,Rassemblement national,NA,NA,https://www.europarl.europa.eu/meps/en/197687,ID,PhOlivierRN,1121349820747264000
Younous OMARJEE,France,Confederal Group of the European United Left - Nordic Green Left,30482,La France Insoumise,https://twitter.com/younousomarjee,https://www.facebook.com/younous.omarjee,https://www.europarl.europa.eu/meps/en/30482,GUE-NGL,younousomarjee,116407356
Grace O'SULLIVAN,Ireland,Group of the Greens/European Free Alliance,197889,Green Party,https://twitter.com/graceosllvn,https://www.facebook.com/GraceOSullivanIE/,https://www.europarl.europa.eu/meps/en/197889,Greens–EFA,GraceOSllvn,2281217988
Henrik OVERGAARD NIELSEN,United Kingdom,Non-attached Members,197712,The Brexit Party,https://twitter.com/brexithenrik,NA,https://www.europarl.europa.eu/meps/en/197712,"NA",brexithenrik,1121176705027248128
Urmas PAET,Estonia,Renew Europe Group,129073,Eesti Reformierakond,https://twitter.com/urmaspaet,https://www.facebook.com/urmaspaet1/,https://www.europarl.europa.eu/meps/en/129073,RE,Urmaspaet,1198416960
Maite PAGAZAURTUNDÚA,Spain,Renew Europe Group,125038,Delegación Ciudadanos Europeos,NA,NA,https://www.europarl.europa.eu/meps/en/125038,RE,maitepagaza,3351784787
Rory PALMER,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,190099,Labour Party,https://twitter.com/rory_palmer,https://www.facebook.com/RoryPalmerMEP,https://www.europarl.europa.eu/meps/en/190099,S&D,Rory_Palmer,22625989
Alessandro PANZA,Italy,Identity and Democracy Group,99283,Lega,https://twitter.com/alepanzaoff,https://www.facebook.com/alepanzaoff,https://www.europarl.europa.eu/meps/en/99283,ID,alepanzaoff,744454884901163008
Demetris PAPADAKIS,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124692,Movement for Social Democracy EDEK,NA,NA,https://www.europarl.europa.eu/meps/en/124692,S&D,DemPapadakis,1498593469
Kostas PAPADAKIS,Greece,Non-attached Members,125093,Communist Party of Greece,NA,NA,https://www.europarl.europa.eu/meps/en/125093,"NA",NA,NA
Dimitrios PAPADIMOULIS,Greece,Confederal Group of the European United Left - Nordic Green Left,28586,Coalition of the Radical Left,https://twitter.com/papadimoulis,https://www.facebook.com/papadimoulis,https://www.europarl.europa.eu/meps/en/28586,GUE-NGL,papadimoulis,249601317
Aldo PATRICIELLO,Italy,Group of the European People's Party (Christian Democrats),36392,Forza Italia,https://twitter.com/PatricielloAldo,https://www.facebook.com/AldoPatriciello,https://www.europarl.europa.eu/meps/en/36392,EPP,PatricielloAldo,454821447
Matthew PATTEN,United Kingdom,Non-attached Members,197620,The Brexit Party,https://twitter.com/math_patten,NA,https://www.europarl.europa.eu/meps/en/197620,"NA",math_patten,1469190546
Jutta PAULUS,Germany,Group of the Greens/European Free Alliance,197466,Bündnis 90/Die Grünen,https://twitter.com/juttapaulusrlp,https://www.facebook.com/JuttaPaulusRLP/,https://www.europarl.europa.eu/meps/en/197466,Greens–EFA,JuttaPaulusRLP,433766266
Piernicola PEDICINI,Italy,Non-attached Members,124844,Movimento 5 Stelle,https://twitter.com/PediciniM5S,https://www.facebook.com/piernicolapedicini,https://www.europarl.europa.eu/meps/en/124844,"NA",PediciniM5S,631767111
Kris PEETERS,Belgium,Group of the European People's Party (Christian Democrats),197420,Christen-Democratisch & Vlaams,NA,NA,https://www.europarl.europa.eu/meps/en/197420,EPP,peeters_kris1,560537100
Mauri PEKKARINEN,Finland,Renew Europe Group,197563,Suomen Keskusta,NA,NA,https://www.europarl.europa.eu/meps/en/197563,RE,PekkarinenMauri,2827228161
Mikuláš PEKSA,Czechia,Group of the Greens/European Free Alliance,197539,PIRÁTI,https://twitter.com/vonpecka,https://www.facebook.com/peksamikulas/,https://www.europarl.europa.eu/meps/en/197539,Greens–EFA,vonpecka,1402424148
Anne-Sophie PELLETIER,France,Confederal Group of the European United Left - Nordic Green Left,197527,La France Insoumise,NA,NA,https://www.europarl.europa.eu/meps/en/197527,GUE-NGL,ASPelletier,971692818577215488
Tsvetelina PENKOVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197845,Bulgarian Socialist Party,NA,https://www.facebook.com/Tsvetelina.M.Penkova/,https://www.europarl.europa.eu/meps/en/197845,S&D,NA,NA
Sandra PEREIRA,Portugal,Confederal Group of the European United Left - Nordic Green Left,197754,Partido Comunista Português,NA,NA,https://www.europarl.europa.eu/meps/en/197754,GUE-NGL,NA,NA
Lídia PEREIRA,Portugal,Group of the European People's Party (Christian Democrats),197738,Partido Social Democrata,https://twitter.com/lidiafopereira,https://www.facebook.com/lidiafopereira,https://www.europarl.europa.eu/meps/en/197738,EPP,lidiafopereira,48132236
