fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,faceboook_urls,officialURL,GroupShort,screen_name,user_id
Barbara THALER,Austria,Group of the European People's Party (Christian Democrats),197667,Österreichische Volkspartei,NA,NA,https://www.europarl.europa.eu/meps/en/197667,EPP,thalerbarbara,36098698
Róża THUN UND HOHENSTEIN,Poland,Group of the European People's Party (Christian Democrats),96776,Platforma Obywatelska,https://twitter.com/rozathun,https://www.facebook.com/rozathun,https://www.europarl.europa.eu/meps/en/96776,EPP,rozathun,284067858
Richard TICE,United Kingdom,Non-attached Members,197599,The Brexit Party,https://twitter.com/TiceRichard,NA,https://www.europarl.europa.eu/meps/en/197599,"NA",TiceRichard,1466783923
Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197591,Partito Democratico,https://twitter.com/itinagli,https://www.facebook.com/Irene-Tinagli-142983109068196,https://www.europarl.europa.eu/meps/en/197591,S&D,itinagli,136343557
Tomas TOBÉ,Sweden,Group of the European People's Party (Christian Democrats),197402,Moderaterna,NA,NA,https://www.europarl.europa.eu/meps/en/197402,EPP,tomastobe,19455187
Grzegorz TOBISZOWSKI,Poland,European Conservatives and Reformists Group,197559,Prawo i Sprawiedliwość,NA,NA,https://www.europarl.europa.eu/meps/en/197559,ECR,tobiszowski,1113740345559351297
Patrizia TOIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28340,Partito Democratico,https://twitter.com/toiapatrizia,https://www.facebook.com/ToiaPatrizia,https://www.europarl.europa.eu/meps/en/28340,S&D,toiapatrizia,86719842
Irène TOLLERET,France,Renew Europe Group,197547,Liste Renaissance,NA,NA,https://www.europarl.europa.eu/meps/en/197547,RE,ITolleret,923116072856846336
Eugen TOMAC,Romania,Group of the European People's Party (Christian Democrats),197672,Partidul Mișcarea Populară,NA,https://www.facebook.com/tomaceugen/,https://www.europarl.europa.eu/meps/en/197672,EPP,eugen_tomac,4250290102
Valdemar TOMAŠEVSKI,Lithuania,European Conservatives and Reformists Group,96697,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,NA,https://www.facebook.com/home.php#!/VTomasevski,https://www.europarl.europa.eu/meps/en/96697,ECR,NA,NA
Ruža TOMAŠIĆ,Croatia,European Conservatives and Reformists Group,119431,Hrvatska konzervativna stranka,https://twitter.com/ruzatomasic,https://www.facebook.com/tomasicruza,https://www.europarl.europa.eu/meps/en/119431,ECR,RuzaTomasic,1557028850
Romana TOMC,Slovenia,Group of the European People's Party (Christian Democrats),125104,Slovenska demokratska stranka,https://twitter.com/RomanaTomc,https://www.facebook.com/romana.tomc,https://www.europarl.europa.eu/meps/en/125104,EPP,RomanaTomc,397348833
Yana TOOM,Estonia,Renew Europe Group,124700,Eesti Keskerakond,https://twitter.com/yanatoom,https://www.facebook.com/yana.toom,https://www.europarl.europa.eu/meps/en/124700,RE,YanaToom,2834900104
Nils TORVALDS,Finland,Renew Europe Group,114268,Svenska folkpartiet,https://twitter.com/nilstorvalds,https://www.facebook.com/NILSTORVALDS2018/,https://www.europarl.europa.eu/meps/en/114268,RE,NilsTorvalds,25057713
Evžen TOŠENOVSKÝ,Czechia,European Conservatives and Reformists Group,96713,Občanská demokratická strana,NA,NA,https://www.europarl.europa.eu/meps/en/96713,ECR,EvzenTosenovsky,2597918268
Edina TÓTH,Hungary,Group of the European People's Party (Christian Democrats),27714,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,https://twitter.com/toth_edina,https://www.facebook.com/TothEdinaEP/,https://www.europarl.europa.eu/meps/en/27714,EPP,toth_edina,2844983574
Marie TOUSSAINT,France,Group of the Greens/European Free Alliance,97236,Europe Écologie,https://twitter.com/marietouss1,NA,https://www.europarl.europa.eu/meps/en/97236,Greens–EFA,marietouss1,244086871
Isabella TOVAGLIERI,Italy,Identity and Democracy Group,197580,Lega,NA,https://www.facebook.com/IsabellaTovaglieriLega/,https://www.europarl.europa.eu/meps/en/197580,ID,isatovaglieri,1126217082658594822
Véronique TRILLET-LENOIR,France,Renew Europe Group,197593,Liste Renaissance,NA,NA,https://www.europarl.europa.eu/meps/en/197593,RE,VTrillet_Lenoir,2824971037
László TRÓCSÁNYI,Hungary,Group of the European People's Party (Christian Democrats),197894,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,https://twitter.com/trocsanyi,NA,https://www.europarl.europa.eu/meps/en/197894,EPP,trocsanyi,1097491939681804288
Dragoş TUDORACHE,Romania,Renew Europe Group,197665,"Partidul Libertate, Unitate și Solidaritate",NA,NA,https://www.europarl.europa.eu/meps/en/197665,RE,IoanDragosT,1147477812590329856
Mihai TUDOSE,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198183,PRO Romania,NA,NA,https://www.europarl.europa.eu/meps/en/198183,S&D,NA,NA
Milan UHRÍK,Slovakia,Non-attached Members,197763,Kotleba – Ľudová strana Naše Slovensko,NA,NA,https://www.europarl.europa.eu/meps/en/197763,"NA",NA,NA
István UJHELYI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124705,Magyar Szocialista Párt,https://twitter.com/istvan_ujhelyi,https://www.facebook.com/dr.ujhelyi.istvan,https://www.europarl.europa.eu/meps/en/124705,S&D,istvan_ujhelyi,705011648558473220
Miguel URBÁN CRESPO,Spain,Confederal Group of the European United Left - Nordic Green Left,131507,PODEMOS,https://twitter.com/MiguelUrban,https://www.facebook.com/miguel.urban.79,https://www.europarl.europa.eu/meps/en/131507,GUE-NGL,MiguelUrban,392199690
Ernest URTASUN,Spain,Group of the Greens/European Free Alliance,124972,Catalunya en Comú,https://twitter.com/ernesturtasun,https://www.facebook.com/eurtasun,https://www.europarl.europa.eu/meps/en/124972,Greens–EFA,ernesturtasun,280227352
Nils UŠAKOVS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197810,"""Saskaņa"" sociāldemokrātiskā partija",NA,NA,https://www.europarl.europa.eu/meps/en/197810,S&D,nilsusakovs,34616856
Viktor USPASKICH,Lithuania,Renew Europe Group,96698,Darbo partija,http://twitter.com/ViktorUspaskich,https://www.facebook.com/people/Viktor-Uspaskich/100004808381839,https://www.europarl.europa.eu/meps/en/96698,RE,ViktorUspaskich,190621455
Inese VAIDERE,Latvia,Group of the European People's Party (Christian Democrats),28617,"Partija ""VIENOTĪBA""",https://twitter.com/inesevaidere,https://www.facebook.com/inese.vaidere.9?ref=tn_tnmn,https://www.europarl.europa.eu/meps/en/28617,EPP,IneseVaidere,222400131
Adina-Ioana VĂLEAN,Romania,Group of the European People's Party (Christian Democrats),37324,Partidul Naţional Liberal,NA,NA,https://www.europarl.europa.eu/meps/en/37324,EPP,AdinaValean,42072558
Monika VANA,Austria,Group of the Greens/European Free Alliance,124934,Die Grünen - Die Grüne Alternative,NA,NA,https://www.europarl.europa.eu/meps/en/124934,Greens–EFA,MonikaVana,2615232002
Kathleen VAN BREMPT,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5729,Socialistische Partij.Anders,NA,NA,https://www.europarl.europa.eu/meps/en/5729,S&D,kvanbrempt,381540723
Tom VANDENDRIESSCHE,Belgium,Identity and Democracy Group,185771,Vlaams Belang,NA,NA,https://www.europarl.europa.eu/meps/en/185771,ID,TomVandendriess,313540505
Geoffrey VAN ORDEN,United Kingdom,European Conservatives and Reformists Group,4513,Conservative Party,NA,NA,https://www.europarl.europa.eu/meps/en/4513,ECR,GVOMEP,2348546149
Johan VAN OVERTVELDT,Belgium,European Conservatives and Reformists Group,125106,Nieuw-Vlaamse Alliantie,NA,NA,https://www.europarl.europa.eu/meps/en/125106,ECR,jvanovertveldt,190955270
Kim VAN SPARRENTAK,Netherlands,Group of the Greens/European Free Alliance,197870,GroenLinks,https://twitter.com/kimvsparrentak,NA,https://www.europarl.europa.eu/meps/en/197870,Greens–EFA,kimvsparrentak,55893722
Hilde VAUTMANS,Belgium,Renew Europe Group,130100,Open Vlaamse Liberalen en Democraten,https://twitter.com/hildevautmans,https://www.facebook.com/HVautmans/?ref=br_rs,https://www.europarl.europa.eu/meps/en/130100,RE,hildevautmans,700605423
Marie-Pierre VEDRENNE,France,Renew Europe Group,197502,Mouvement Démocrate,https://twitter.com/mariepierrev,https://www.facebook.com/MariePierre.Vedrenne,https://www.europarl.europa.eu/meps/en/197502,RE,MariePierreV,2867702451
Sabine VERHEYEN,Germany,Group of the European People's Party (Christian Democrats),96756,Christlich Demokratische Union Deutschlands,https://twitter.com/sabineverheyen,https://www.facebook.com/mdep.ac,https://www.europarl.europa.eu/meps/en/96756,EPP,sabineverheyen,2606242467
Guy VERHOFSTADT,Belgium,Renew Europe Group,97058,Open Vlaamse Liberalen en Democraten,http://twitter.com/GuyVerhofstadt,http://www.facebook.com/verhofstadt.guy,https://www.europarl.europa.eu/meps/en/97058,RE,guyverhofstadt,856010760
Harald VILIMSKY,Austria,Identity and Democracy Group,125001,Freiheitliche Partei Österreichs,NA,NA,https://www.europarl.europa.eu/meps/en/125001,ID,vilimsky,303234771
Idoia VILLANUEVA RUIZ,Spain,Confederal Group of the European United Left - Nordic Green Left,197827,PODEMOS,https://twitter.com/idoiavr,https://fr-fr.facebook.com/IdoiaVR/,https://www.europarl.europa.eu/meps/en/197827,GUE-NGL,IdoiaVR,610146315
Nikolaj VILLUMSEN,Denmark,Confederal Group of the European United Left - Nordic Green Left,197571,Enhedslisten,https://twitter.com/nvillumsen,https://www.facebook.com/nikolaj.villumsen,https://www.europarl.europa.eu/meps/en/197571,GUE-NGL,nvillumsen,35877137
Loránt VINCZE,Romania,Group of the European People's Party (Christian Democrats),98582,Uniunea Democrată Maghiară din România,https://twitter.com/vinczelorant,https://www.facebook.com/vincze.lorant.2019/,https://www.europarl.europa.eu/meps/en/98582,EPP,vinczelorant,45225005
Marianne VIND,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199941,Socialdemokratiet,https://twitter.com/mariannevind,https://www.facebook.com/MarianneVindEP,https://www.europarl.europa.eu/meps/en/199941,S&D,MarianneVind,717367511
Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),124726,Kansallinen Kokoomus,https://twitter.com/HennaVirkkunen,https://www.facebook.com/virkkunenhenna,https://www.europarl.europa.eu/meps/en/124726,EPP,HennaVirkkunen,72277900
Petar VITANOV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197844,Bulgarian Socialist Party,NA,https://www.facebook.com/peter.vitanov,https://www.europarl.europa.eu/meps/en/197844,S&D,NA,NA
Caroline VOADEN,United Kingdom,Renew Europe Group,197749,Liberal Democrats,https://twitter.com/carolinevoaden,https://www.facebook.com/cvoaden,https://www.europarl.europa.eu/meps/en/197749,RE,CarolineVoaden,1086696404
Bettina VOLLATH,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197678,Sozialdemokratische Partei Österreichs,NA,https://www.facebook.com/bettinavollath/,https://www.europarl.europa.eu/meps/en/197678,S&D,VollathBettina,1148669682427281410
Viola VON CRAMON-TAUBADEL,Germany,Group of the Greens/European Free Alliance,197451,Bündnis 90/Die Grünen,https://twitter.com/violavoncramon,https://www.facebook.com/viola.voncramon,https://www.europarl.europa.eu/meps/en/197451,Greens–EFA,ViolavonCramon,30507250
Alexandr VONDRA,Czechia,European Conservatives and Reformists Group,197537,Občanská demokratická strana,https://twitter.com/alexandrvondra,https://www.facebook.com/a.vondra/,https://www.europarl.europa.eu/meps/en/197537,ECR,AlexandrVondra,2744733035
Irina VON WIESE,United Kingdom,Renew Europe Group,197625,Liberal Democrats,https://twitter.com/irinavonwiese,NA,https://www.europarl.europa.eu/meps/en/197625,RE,IrinavonWiese,910520918799155200
Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),96761,Christlich Demokratische Union Deutschlands,http://twitter.com/AxelVossMdEP,https://www.facebook.com/AxelVossMdEP,https://www.europarl.europa.eu/meps/en/96761,EPP,AxelVossMdEP,246295381
Elissavet VOZEMBERG-VRIONIDI,Greece,Group of the European People's Party (Christian Democrats),125065,Nea Demokratia,https://twitter.com/vozemberg,https://www.facebook.com/vozemberg,https://www.europarl.europa.eu/meps/en/125065,EPP,vozemberg,385358076
Veronika VRECIONOVÁ,Czechia,European Conservatives and Reformists Group,197552,Občanská demokratická strana,NA,NA,https://www.europarl.europa.eu/meps/en/197552,ECR,NA,NA
Lucia VUOLO,Italy,Identity and Democracy Group,197798,Lega,https://twitter.com/luciavuoloeu,https://www.facebook.com/lucia.vuolo.europa/,https://www.europarl.europa.eu/meps/en/197798,ID,LuciaVuoloEU,1121084255503900672
Mick WALLACE,Ireland,Confederal Group of the European United Left - Nordic Green Left,197817,Independents for change,https://twitter.com/wallacemick,NA,https://www.europarl.europa.eu/meps/en/197817,GUE-NGL,wallacemick,248801998
Maria WALSH,Ireland,Group of the European People's Party (Christian Democrats),197863,Fine Gael Party,https://twitter.com/mariawalsheu,https://www.facebook.com/MariaWalshEU/,https://www.europarl.europa.eu/meps/en/197863,EPP,MariaWalshEU,3350861938
Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),197429,Christlich Demokratische Union Deutschlands,https://twitter.com/marionwalsmann,https://www.facebook.com/team.walsmann/,https://www.europarl.europa.eu/meps/en/197429,EPP,MarionWalsmann,576234213
Jörgen WARBORN,Sweden,Group of the European People's Party (Christian Democrats),197405,Moderaterna,https://twitter.com/jorgenwarborn,https://facebook.com/jorgenwarborn,https://www.europarl.europa.eu/meps/en/197405,EPP,jorgenwarborn,19085332
Julie WARD,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124963,Labour Party,https://twitter.com/julie4nw,https://www.facebook.com/julie4nw,https://www.europarl.europa.eu/meps/en/124963,S&D,julie4nw,1354570123
Witold Jan WASZCZYKOWSKI,Poland,European Conservatives and Reformists Group,197566,Prawo i Sprawiedliwość,https://twitter.com/WaszczykowskiW,https://www.facebook.com/WitoldWaszczykowski,https://www.europarl.europa.eu/meps/en/197566,ECR,WaszczykowskiW,1112654747994071040
Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich-Soziale Union in Bayern e.V.,https://twitter.com/ManfredWeber,https://www.facebook.com/manfred.weber,https://www.europarl.europa.eu/meps/en/28229,EPP,ManfredWeber,20399735
Charlie WEIMERS,Sweden,European Conservatives and Reformists Group,123562,Sverigedemokraterna,https://twitter.com/weimers,https://www.facebook.com/charlie.weimers,https://www.europarl.europa.eu/meps/en/123562,ECR,weimers,19182845
Pernille WEISS,Denmark,Group of the European People's Party (Christian Democrats),197515,Det Konservative Folkeparti,https://twitter.com/WeissPernille,https://www.facebook.com/pernilleweiss/,https://www.europarl.europa.eu/meps/en/197515,EPP,WeissPernille,1007696977369423879
James WELLS,United Kingdom,Non-attached Members,197757,The Brexit Party,https://twitter.com/jamesfwells,https://www.facebook.com/JamesWellsMEP/?ref=py_c,https://www.europarl.europa.eu/meps/en/197757,"NA",JamesfWells,738707750570602496
Ann WIDDECOMBE,United Kingdom,Non-attached Members,197744,The Brexit Party,NA,NA,https://www.europarl.europa.eu/meps/en/197744,"NA",NA,NA
Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),2323,Christlich Demokratische Union Deutschlands,NA,https://www.facebook.com/wieland.mdep,https://www.europarl.europa.eu/meps/en/2323,EPP,NA,NA
Sarah WIENER,Austria,Group of the Greens/European Free Alliance,197675,Die Grünen - Die Grüne Alternative,NA,https://www.facebook.com/sarahwienerofficial/,https://www.europarl.europa.eu/meps/en/197675,Greens–EFA,NA,NA
Michal WIEZIK,Slovakia,Group of the European People's Party (Christian Democrats),197769,Independent,NA,NA,https://www.europarl.europa.eu/meps/en/197769,EPP,NA,NA
Iuliu WINKLER,Romania,Group of the European People's Party (Christian Democrats),39725,Uniunea Democrată Maghiară din România,NA,NA,https://www.europarl.europa.eu/meps/en/39725,EPP,IuliuWinkler,4023186321
Angelika WINZIG,Austria,Group of the European People's Party (Christian Democrats),197652,Österreichische Volkspartei,https://twitter.com/angelikawinzig,https://www.facebook.com/angelika.winzig/,https://www.europarl.europa.eu/meps/en/197652,EPP,AngelikaWinzig,1620533268
Isabel WISELER-LIMA,Luxembourg,Group of the European People's Party (Christian Democrats),197421,Parti chrétien social luxembourgeois,https://twitter.com/iwiseler,https://www.facebook.com/isabel.wiseler.lima/,https://www.europarl.europa.eu/meps/en/197421,EPP,iwiseler,42228933
Jadwiga WIŚNIEWSKA,Poland,European Conservatives and Reformists Group,124877,Prawo i Sprawiedliwość,https://twitter.com/j_wisniewska,https://www.facebook.com/jadwiga.wisniewska,https://www.europarl.europa.eu/meps/en/124877,ECR,j_wisniewska,255941995
Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands,https://twitter.com/woelken,https://www.facebook.com/twoelken,https://www.europarl.europa.eu/meps/en/185619,S&D,woelken,18174975
Lara WOLTERS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5392,Partij van de Arbeid,https://twitter.com/wolters_lara,https://www.facebook.com/larawolters0/,https://www.europarl.europa.eu/meps/en/5392,S&D,larawoltersEU,1086506457435115522
Salima YENBOU,France,Group of the Greens/European Free Alliance,197511,Europe Écologie,NA,NA,https://www.europarl.europa.eu/meps/en/197511,Greens–EFA,salima_yenbou,714914764
Stéphanie YON-COURTIN,France,Renew Europe Group,197581,-,https://twitter.com/s_yoncourtin,https://www.facebook.com/StephanieYonCourtin/,https://www.europarl.europa.eu/meps/en/197581,RE,s_yoncourtin,1112075586120400899
Elena YONCHEVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197842,Bulgarian Socialist Party,NA,NA,https://www.europarl.europa.eu/meps/en/197842,S&D,NA,NA
Chrysoula ZACHAROPOULOU,France,Renew Europe Group,197499,La République en marche,NA,NA,https://www.europarl.europa.eu/meps/en/197499,RE,CZacharopoulou,976511129018077186
Theodoros ZAGORAKIS,Greece,Group of the European People's Party (Christian Democrats),125067,Nea Demokratia,NA,https://www.facebook.com/th.zagorakis,https://www.europarl.europa.eu/meps/en/125067,EPP,NA,NA
Jan ZAHRADIL,Czechia,European Conservatives and Reformists Group,23712,Občanská demokratická strana,https://twitter.com/ZahradilJan,https://www.facebook.com/zahradil,https://www.europarl.europa.eu/meps/en/23712,ECR,ZahradilJan,1875717132
Anna ZALEWSKA,Poland,European Conservatives and Reformists Group,197572,Prawo i Sprawiedliwość,NA,NA,https://www.europarl.europa.eu/meps/en/197572,ECR,_AnnaZalewska,3354883925
Stefania ZAMBELLI,Italy,Identity and Democracy Group,197586,Lega,NA,https://www.facebook.com/scrivizambelli,https://www.europarl.europa.eu/meps/en/197586,ID,ZambelliLega,1125285893961547777
Marco ZANNI,Italy,Identity and Democracy Group,124780,Lega,https://twitter.com/Marcozanni86,NA,https://www.europarl.europa.eu/meps/en/124780,ID,Marcozanni86,112873259
Javier ZARZALEJOS,Spain,Group of the European People's Party (Christian Democrats),197606,Partido Popular,NA,NA,https://www.europarl.europa.eu/meps/en/197606,EPP,FZarzalejos,1151073066321158144
Tatjana ŽDANOKA,Latvia,Group of the Greens/European Free Alliance,28619,Latvijas Krievu savienība,https://twitter.com/Tatjana_Zdanoka,https://www.facebook.com/tatjana.zdanoka,https://www.europarl.europa.eu/meps/en/28619,Greens–EFA,Tatjana_Zdanoka,252625352
Tomáš ZDECHOVSKÝ,Czechia,Group of the European People's Party (Christian Democrats),124713,Křesťanská a demokratická unie - Československá strana lidová,https://twitter.com/TomZdechovsky,https://www.facebook.com/zdechovsky?fref=ts,https://www.europarl.europa.eu/meps/en/124713,EPP,TomZdechovskyEP,2615239693
Roberts ZĪLE,Latvia,European Conservatives and Reformists Group,28615,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",NA,NA,https://www.europarl.europa.eu/meps/en/28615,ECR,robertszile,104777237
Bernhard ZIMNIOK,Germany,Identity and Democracy Group,197489,Alternative für Deutschland,NA,NA,https://www.europarl.europa.eu/meps/en/197489,ID,NA,NA
Kosma ZŁOTOWSKI,Poland,European Conservatives and Reformists Group,124884,Prawo i Sprawiedliwość,https://twitter.com/KosmaZlotowski,https://www.facebook.com/kosmazlotowski,https://www.europarl.europa.eu/meps/en/124884,ECR,KosmaZlotowski,885534897061888000
Juan Ignacio ZOIDO ÁLVAREZ,Spain,Group of the European People's Party (Christian Democrats),197621,Partido Popular,NA,NA,https://www.europarl.europa.eu/meps/en/197621,EPP,zoidoJI,169843986
Carlos ZORRINHO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124739,Partido Socialista,https://twitter.com/czorrinho,https://www.facebook.com/czorrinho,https://www.europarl.europa.eu/meps/en/124739,S&D,czorrinho,34423857
Željana ZOVKO,Croatia,Group of the European People's Party (Christian Democrats),185341,Hrvatska demokratska zajednica,https://twitter.com/ZovkoEU,https://www.facebook.com/zeljanazovko.eu,https://www.europarl.europa.eu/meps/en/185341,EPP,ZovkoEU,832578719525064708
Marco ZULLO,Italy,Non-attached Members,125237,Movimento 5 Stelle,NA,NA,https://www.europarl.europa.eu/meps/en/125237,"NA",MarcoZullo,2780234221
Milan ZVER,Slovenia,Group of the European People's Party (Christian Democrats),96933,Slovenska demokratska stranka,https://twitter.com/MilanZver,https://www.facebook.com/milan.zver,https://www.europarl.europa.eu/meps/en/96933,EPP,MilanZver,368804657
